"","pKey","itemNum","Correct","Task","OptionChosen"
"1",100,22,1,"IV","Answer2"
"2",100,6,1,"IV","Answer2"
"3",100,3,1,"IV","Answer2"
"4",100,16,1,"IV","Answer2"
"5",100,11,1,"IV","Answer2"
"6",100,7,1,"IV","Answer2"
"7",100,1,1,"IV","Answer2"
"8",100,14,1,"IV","Answer2"
"9",100,8,1,"IV","Answer2"
"10",100,21,1,"IV","Answer2"
"11",100,25,1,"IV","Answer2"
"12",100,5,1,"IV","Answer2"
"13",100,19,1,"IV","Answer2"
"14",100,15,1,"IV","Answer2"
"15",100,17,1,"IV","Answer2"
"16",100,23,1,"IV","Answer2"
"17",100,2,1,"IV","Answer2"
"18",100,4,1,"IV","Answer2"
"19",100,18,1,"IV","Answer2"
"20",100,24,1,"IV","Answer2"
"21",100,13,1,"IV","Answer2"
"22",100,9,1,"IV","Answer2"
"23",100,20,1,"IV","Answer2"
"24",100,10,1,"IV","Answer2"
"25",100,12,1,"IV","Answer2"
"26",101,22,1,"IV","Answer2"
"27",101,6,1,"IV","Answer2"
"28",101,3,1,"IV","Answer2"
"29",101,16,1,"IV","Answer2"
"30",101,11,1,"IV","Answer2"
"31",101,7,1,"IV","Answer2"
"32",101,1,1,"IV","Answer2"
"33",101,14,1,"IV","Answer2"
"34",101,8,1,"IV","Answer2"
"35",101,21,1,"IV","Answer2"
"36",101,25,1,"IV","Answer2"
"37",101,5,1,"IV","Answer2"
"38",101,19,1,"IV","Answer2"
"39",101,15,1,"IV","Answer2"
"40",101,17,1,"IV","Answer2"
"41",101,23,1,"IV","Answer2"
"42",101,2,1,"IV","Answer2"
"43",101,4,1,"IV","Answer2"
"44",101,18,1,"IV","Answer2"
"45",101,24,1,"IV","Answer2"
"46",101,13,1,"IV","Answer2"
"47",101,9,1,"IV","Answer2"
"48",101,20,1,"IV","Answer2"
"49",101,10,1,"IV","Answer2"
"50",101,12,1,"IV","Answer2"
"51",102,22,1,"IV","Answer2"
"52",102,6,1,"IV","Answer2"
"53",102,3,1,"IV","Answer2"
"54",102,16,1,"IV","Answer2"
"55",102,11,1,"IV","Answer2"
"56",102,7,1,"IV","Answer2"
"57",102,1,1,"IV","Answer2"
"58",102,14,1,"IV","Answer2"
"59",102,8,1,"IV","Answer2"
"60",102,21,1,"IV","Answer2"
"61",102,25,1,"IV","Answer2"
"62",102,5,1,"IV","Answer2"
"63",102,19,1,"IV","Answer2"
"64",102,15,1,"IV","Answer2"
"65",102,17,1,"IV","Answer2"
"66",102,23,1,"IV","Answer2"
"67",102,2,1,"IV","Answer2"
"68",102,4,1,"IV","Answer2"
"69",102,18,1,"IV","Answer2"
"70",102,24,1,"IV","Answer2"
"71",102,13,1,"IV","Answer2"
"72",102,9,1,"IV","Answer2"
"73",102,20,1,"IV","Answer2"
"74",102,10,1,"IV","Answer2"
"75",102,12,1,"IV","Answer2"
"76",106,22,1,"IV","Answer2"
"77",106,6,1,"IV","Answer2"
"78",106,3,1,"IV","Answer2"
"79",106,16,1,"IV","Answer2"
"80",106,11,1,"IV","Answer2"
"81",106,7,1,"IV","Answer2"
"82",106,1,1,"IV","Answer2"
"83",106,14,1,"IV","Answer2"
"84",106,8,1,"IV","Answer2"
"85",106,21,1,"IV","Answer2"
"86",106,25,1,"IV","Answer2"
"87",106,5,1,"IV","Answer2"
"88",106,19,1,"IV","Answer2"
"89",106,15,0,"IV","Answer1"
"90",106,17,1,"IV","Answer2"
"91",106,23,1,"IV","Answer2"
"92",106,2,1,"IV","Answer2"
"93",106,4,1,"IV","Answer2"
"94",106,18,1,"IV","Answer2"
"95",106,24,1,"IV","Answer2"
"96",106,13,1,"IV","Answer2"
"97",106,9,1,"IV","Answer2"
"98",106,20,1,"IV","Answer2"
"99",106,10,1,"IV","Answer2"
"100",106,12,1,"IV","Answer2"
"101",107,22,1,"IV","Answer2"
"102",107,6,1,"IV","Answer2"
"103",107,3,1,"IV","Answer2"
"104",107,16,1,"IV","Answer2"
"105",107,11,1,"IV","Answer2"
"106",107,7,1,"IV","Answer2"
"107",107,1,0,"IV","Answer1"
"108",107,14,0,"IV","Answer1"
"109",107,8,1,"IV","Answer2"
"110",107,21,1,"IV","Answer2"
"111",107,25,1,"IV","Answer2"
"112",107,5,1,"IV","Answer2"
"113",107,19,1,"IV","Answer2"
"114",107,15,1,"IV","Answer2"
"115",107,17,1,"IV","Answer2"
"116",107,23,1,"IV","Answer2"
"117",107,2,1,"IV","Answer2"
"118",107,4,1,"IV","Answer2"
"119",107,18,1,"IV","Answer2"
"120",107,24,1,"IV","Answer2"
"121",107,13,1,"IV","Answer2"
"122",107,9,1,"IV","Answer2"
"123",107,20,1,"IV","Answer2"
"124",107,10,1,"IV","Answer2"
"125",107,12,1,"IV","Answer2"
"126",108,22,1,"IV","Answer2"
"127",108,6,1,"IV","Answer2"
"128",108,3,0,"IV","Answer1"
"129",108,16,1,"IV","Answer2"
"130",108,11,1,"IV","Answer2"
"131",108,7,1,"IV","Answer2"
"132",108,1,0,"IV","Answer1"
"133",108,14,1,"IV","Answer2"
"134",108,8,1,"IV","Answer2"
"135",108,21,1,"IV","Answer2"
"136",108,25,1,"IV","Answer2"
"137",108,5,1,"IV","Answer2"
"138",108,19,1,"IV","Answer2"
"139",108,15,1,"IV","Answer2"
"140",108,17,1,"IV","Answer2"
"141",108,23,1,"IV","Answer2"
"142",108,2,1,"IV","Answer2"
"143",108,4,1,"IV","Answer2"
"144",108,18,1,"IV","Answer2"
"145",108,24,1,"IV","Answer2"
"146",108,13,0,"IV","Answer3"
"147",108,9,1,"IV","Answer2"
"148",108,20,1,"IV","Answer2"
"149",108,10,1,"IV","Answer2"
"150",108,12,1,"IV","Answer2"
"151",110,22,1,"IV","Answer2"
"152",110,6,1,"IV","Answer2"
"153",110,3,0,"IV","Answer1"
"154",110,16,1,"IV","Answer2"
"155",110,11,1,"IV","Answer2"
"156",110,7,1,"IV","Answer2"
"157",110,1,1,"IV","Answer2"
"158",110,14,1,"IV","Answer2"
"159",110,8,1,"IV","Answer2"
"160",110,21,1,"IV","Answer2"
"161",110,25,1,"IV","Answer2"
"162",110,5,1,"IV","Answer2"
"163",110,19,1,"IV","Answer2"
"164",110,15,1,"IV","Answer2"
"165",110,17,1,"IV","Answer2"
"166",110,23,1,"IV","Answer2"
"167",110,2,0,"IV","Answer1"
"168",110,4,1,"IV","Answer2"
"169",110,18,1,"IV","Answer2"
"170",110,24,1,"IV","Answer2"
"171",110,13,1,"IV","Answer2"
"172",110,9,1,"IV","Answer2"
"173",110,20,1,"IV","Answer2"
"174",110,10,1,"IV","Answer2"
"175",110,12,1,"IV","Answer2"
"176",111,22,1,"IV","Answer2"
"177",111,6,1,"IV","Answer2"
"178",111,3,1,"IV","Answer2"
"179",111,16,1,"IV","Answer2"
"180",111,11,1,"IV","Answer2"
"181",111,7,1,"IV","Answer2"
"182",111,1,1,"IV","Answer2"
"183",111,14,1,"IV","Answer2"
"184",111,8,1,"IV","Answer2"
"185",111,21,1,"IV","Answer2"
"186",111,25,1,"IV","Answer2"
"187",111,5,1,"IV","Answer2"
"188",111,19,1,"IV","Answer2"
"189",111,15,1,"IV","Answer2"
"190",111,17,1,"IV","Answer2"
"191",111,23,1,"IV","Answer2"
"192",111,2,1,"IV","Answer2"
"193",111,4,1,"IV","Answer2"
"194",111,18,1,"IV","Answer2"
"195",111,24,1,"IV","Answer2"
"196",111,13,1,"IV","Answer2"
"197",111,9,1,"IV","Answer2"
"198",111,20,1,"IV","Answer2"
"199",111,10,1,"IV","Answer2"
"200",111,12,1,"IV","Answer2"
"201",112,22,1,"IV","Answer2"
"202",112,6,0,"IV","Answer1"
"203",112,3,1,"IV","Answer2"
"204",112,16,0,"IV","Answer1"
"205",112,11,0,"IV","Answer1"
"206",112,7,0,"IV","Answer3"
"207",112,1,1,"IV","Answer2"
"208",112,14,0,"IV","Answer1"
"209",112,8,0,"IV","Answer3"
"210",112,21,0,"IV","Answer1"
"211",112,25,0,"IV","Answer4"
"212",112,5,0,"IV","Answer3"
"213",112,19,0,"IV","Answer1"
"214",112,15,0,"IV","Answer3"
"215",112,17,1,"IV","Answer2"
"216",112,23,0,"IV","Answer1"
"217",112,2,0,"IV","Answer3"
"218",112,4,0,"IV","Answer4"
"219",112,18,0,"IV","Answer4"
"220",112,24,0,"IV","Answer1"
"221",112,13,0,"IV","Answer1"
"222",112,9,0,"IV","Answer4"
"223",112,20,0,"IV","Answer1"
"224",112,10,0,"IV","Answer1"
"225",112,12,0,"IV","Answer1"
"226",115,22,1,"IV","Answer2"
"227",115,6,1,"IV","Answer2"
"228",115,3,1,"IV","Answer2"
"229",115,16,1,"IV","Answer2"
"230",115,11,1,"IV","Answer2"
"231",115,7,1,"IV","Answer2"
"232",115,1,1,"IV","Answer2"
"233",115,14,1,"IV","Answer2"
"234",115,8,1,"IV","Answer2"
"235",115,21,1,"IV","Answer2"
"236",115,25,1,"IV","Answer2"
"237",115,5,1,"IV","Answer2"
"238",115,19,1,"IV","Answer2"
"239",115,15,1,"IV","Answer2"
"240",115,17,1,"IV","Answer2"
"241",115,23,1,"IV","Answer2"
"242",115,2,1,"IV","Answer2"
"243",115,4,1,"IV","Answer2"
"244",115,18,1,"IV","Answer2"
"245",115,24,1,"IV","Answer2"
"246",115,13,1,"IV","Answer2"
"247",115,9,1,"IV","Answer2"
"248",115,20,1,"IV","Answer2"
"249",115,10,1,"IV","Answer2"
"250",115,12,1,"IV","Answer2"
"251",116,22,1,"IV","Answer2"
"252",116,6,1,"IV","Answer2"
"253",116,3,1,"IV","Answer2"
"254",116,16,1,"IV","Answer2"
"255",116,11,1,"IV","Answer2"
"256",116,7,1,"IV","Answer2"
"257",116,1,1,"IV","Answer2"
"258",116,14,1,"IV","Answer2"
"259",116,8,1,"IV","Answer2"
"260",116,21,1,"IV","Answer2"
"261",116,25,1,"IV","Answer2"
"262",116,5,1,"IV","Answer2"
"263",116,19,1,"IV","Answer2"
"264",116,15,1,"IV","Answer2"
"265",116,17,1,"IV","Answer2"
"266",116,23,1,"IV","Answer2"
"267",116,2,1,"IV","Answer2"
"268",116,4,1,"IV","Answer2"
"269",116,18,1,"IV","Answer2"
"270",116,24,1,"IV","Answer2"
"271",116,13,1,"IV","Answer2"
"272",116,9,1,"IV","Answer2"
"273",116,20,1,"IV","Answer2"
"274",116,10,1,"IV","Answer2"
"275",116,12,1,"IV","Answer2"
"276",118,22,1,"IV","Answer2"
"277",118,6,1,"IV","Answer2"
"278",118,3,1,"IV","Answer2"
"279",118,16,1,"IV","Answer2"
"280",118,11,1,"IV","Answer2"
"281",118,7,1,"IV","Answer2"
"282",118,1,1,"IV","Answer2"
"283",118,14,1,"IV","Answer2"
"284",118,8,1,"IV","Answer2"
"285",118,21,1,"IV","Answer2"
"286",118,25,1,"IV","Answer2"
"287",118,5,1,"IV","Answer2"
"288",118,19,1,"IV","Answer2"
"289",118,15,1,"IV","Answer2"
"290",118,17,1,"IV","Answer2"
"291",118,23,1,"IV","Answer2"
"292",118,2,1,"IV","Answer2"
"293",118,4,1,"IV","Answer2"
"294",118,18,1,"IV","Answer2"
"295",118,24,1,"IV","Answer2"
"296",118,13,1,"IV","Answer2"
"297",118,9,1,"IV","Answer2"
"298",118,20,1,"IV","Answer2"
"299",118,10,1,"IV","Answer2"
"300",118,12,1,"IV","Answer2"
"301",120,22,1,"IV","Answer2"
"302",120,6,1,"IV","Answer2"
"303",120,3,0,"IV","Answer3"
"304",120,16,0,"IV","Answer1"
"305",120,11,0,"IV","Answer3"
"306",120,7,0,"IV","Answer1"
"307",120,1,0,"IV","Answer1"
"308",120,14,0,"IV","Answer3"
"309",120,8,0,"IV","Answer1"
"310",120,21,1,"IV","Answer2"
"311",120,25,1,"IV","Answer2"
"312",120,5,1,"IV","Answer2"
"313",120,19,1,"IV","Answer2"
"314",120,15,0,"IV","Answer1"
"315",120,17,1,"IV","Answer2"
"316",120,23,1,"IV","Answer2"
"317",120,2,1,"IV","Answer2"
"318",120,4,1,"IV","Answer2"
"319",120,18,1,"IV","Answer2"
"320",120,24,1,"IV","Answer2"
"321",120,13,0,"IV","Answer1"
"322",120,9,1,"IV","Answer2"
"323",120,20,1,"IV","Answer2"
"324",120,10,0,"IV","Answer1"
"325",120,12,1,"IV","Answer2"
"326",122,22,1,"IV","Answer2"
"327",122,6,1,"IV","Answer2"
"328",122,3,1,"IV","Answer2"
"329",122,16,1,"IV","Answer2"
"330",122,11,1,"IV","Answer2"
"331",122,7,1,"IV","Answer2"
"332",122,1,1,"IV","Answer2"
"333",122,14,1,"IV","Answer2"
"334",122,8,1,"IV","Answer2"
"335",122,21,1,"IV","Answer2"
"336",122,25,1,"IV","Answer2"
"337",122,5,1,"IV","Answer2"
"338",122,19,1,"IV","Answer2"
"339",122,15,1,"IV","Answer2"
"340",122,17,1,"IV","Answer2"
"341",122,23,1,"IV","Answer2"
"342",122,2,1,"IV","Answer2"
"343",122,4,1,"IV","Answer2"
"344",122,18,1,"IV","Answer2"
"345",122,24,1,"IV","Answer2"
"346",122,13,1,"IV","Answer2"
"347",122,9,1,"IV","Answer2"
"348",122,20,1,"IV","Answer2"
"349",122,10,1,"IV","Answer2"
"350",122,12,1,"IV","Answer2"
"351",123,22,1,"IV","Answer2"
"352",123,6,1,"IV","Answer2"
"353",123,3,0,"IV","Answer1"
"354",123,16,1,"IV","Answer2"
"355",123,11,1,"IV","Answer2"
"356",123,7,1,"IV","Answer2"
"357",123,1,1,"IV","Answer2"
"358",123,14,1,"IV","Answer2"
"359",123,8,1,"IV","Answer2"
"360",123,21,1,"IV","Answer2"
"361",123,25,1,"IV","Answer2"
"362",123,5,1,"IV","Answer2"
"363",123,19,1,"IV","Answer2"
"364",123,15,0,"IV","Answer1"
"365",123,17,1,"IV","Answer2"
"366",123,23,1,"IV","Answer2"
"367",123,2,1,"IV","Answer2"
"368",123,4,1,"IV","Answer2"
"369",123,18,1,"IV","Answer2"
"370",123,24,1,"IV","Answer2"
"371",123,13,1,"IV","Answer2"
"372",123,9,1,"IV","Answer2"
"373",123,20,1,"IV","Answer2"
"374",123,10,1,"IV","Answer2"
"375",123,12,1,"IV","Answer2"
"376",124,22,1,"IV","Answer2"
"377",124,6,1,"IV","Answer2"
"378",124,3,1,"IV","Answer2"
"379",124,16,1,"IV","Answer2"
"380",124,11,1,"IV","Answer2"
"381",124,7,1,"IV","Answer2"
"382",124,1,1,"IV","Answer2"
"383",124,14,1,"IV","Answer2"
"384",124,8,1,"IV","Answer2"
"385",124,21,1,"IV","Answer2"
"386",124,25,1,"IV","Answer2"
"387",124,5,1,"IV","Answer2"
"388",124,19,1,"IV","Answer2"
"389",124,15,1,"IV","Answer2"
"390",124,17,1,"IV","Answer2"
"391",124,23,1,"IV","Answer2"
"392",124,2,1,"IV","Answer2"
"393",124,4,1,"IV","Answer2"
"394",124,18,1,"IV","Answer2"
"395",124,24,1,"IV","Answer2"
"396",124,13,1,"IV","Answer2"
"397",124,9,1,"IV","Answer2"
"398",124,20,1,"IV","Answer2"
"399",124,10,1,"IV","Answer2"
"400",124,12,1,"IV","Answer2"
"401",125,22,1,"IV","Answer2"
"402",125,6,1,"IV","Answer2"
"403",125,3,0,"IV","Answer3"
"404",125,16,0,"IV","Answer1"
"405",125,11,1,"IV","Answer2"
"406",125,7,1,"IV","Answer2"
"407",125,1,1,"IV","Answer2"
"408",125,14,1,"IV","Answer2"
"409",125,8,1,"IV","Answer2"
"410",125,21,0,"IV","Answer4"
"411",125,25,1,"IV","Answer2"
"412",125,5,1,"IV","Answer2"
"413",125,19,1,"IV","Answer2"
"414",125,15,1,"IV","Answer2"
"415",125,17,1,"IV","Answer2"
"416",125,23,0,"IV","Answer1"
"417",125,2,1,"IV","Answer2"
"418",125,4,1,"IV","Answer2"
"419",125,18,1,"IV","Answer2"
"420",125,24,1,"IV","Answer2"
"421",125,13,0,"IV","Answer1"
"422",125,9,1,"IV","Answer2"
"423",125,20,1,"IV","Answer2"
"424",125,10,1,"IV","Answer2"
"425",125,12,1,"IV","Answer2"
"426",127,22,1,"IV","Answer2"
"427",127,6,1,"IV","Answer2"
"428",127,3,1,"IV","Answer2"
"429",127,16,1,"IV","Answer2"
"430",127,11,1,"IV","Answer2"
"431",127,7,1,"IV","Answer2"
"432",127,1,1,"IV","Answer2"
"433",127,14,1,"IV","Answer2"
"434",127,8,1,"IV","Answer2"
"435",127,21,1,"IV","Answer2"
"436",127,25,1,"IV","Answer2"
"437",127,5,1,"IV","Answer2"
"438",127,19,1,"IV","Answer2"
"439",127,15,1,"IV","Answer2"
"440",127,17,1,"IV","Answer2"
"441",127,23,1,"IV","Answer2"
"442",127,2,1,"IV","Answer2"
"443",127,4,1,"IV","Answer2"
"444",127,18,1,"IV","Answer2"
"445",127,24,1,"IV","Answer2"
"446",127,13,1,"IV","Answer2"
"447",127,9,1,"IV","Answer2"
"448",127,20,1,"IV","Answer2"
"449",127,10,1,"IV","Answer2"
"450",127,12,1,"IV","Answer2"
"451",130,22,1,"IV","Answer2"
"452",130,6,1,"IV","Answer2"
"453",130,3,1,"IV","Answer2"
"454",130,16,1,"IV","Answer2"
"455",130,11,1,"IV","Answer2"
"456",130,7,1,"IV","Answer2"
"457",130,1,1,"IV","Answer2"
"458",130,14,1,"IV","Answer2"
"459",130,8,1,"IV","Answer2"
"460",130,21,1,"IV","Answer2"
"461",130,25,1,"IV","Answer2"
"462",130,5,1,"IV","Answer2"
"463",130,19,1,"IV","Answer2"
"464",130,15,0,"IV","Answer1"
"465",130,17,1,"IV","Answer2"
"466",130,23,1,"IV","Answer2"
"467",130,2,1,"IV","Answer2"
"468",130,4,1,"IV","Answer2"
"469",130,18,1,"IV","Answer2"
"470",130,24,1,"IV","Answer2"
"471",130,13,1,"IV","Answer2"
"472",130,9,1,"IV","Answer2"
"473",130,20,1,"IV","Answer2"
"474",130,10,1,"IV","Answer2"
"475",130,12,1,"IV","Answer2"
"476",131,22,1,"IV","Answer2"
"477",131,6,1,"IV","Answer2"
"478",131,3,1,"IV","Answer2"
"479",131,16,1,"IV","Answer2"
"480",131,11,1,"IV","Answer2"
"481",131,7,1,"IV","Answer2"
"482",131,1,1,"IV","Answer2"
"483",131,14,1,"IV","Answer2"
"484",131,8,1,"IV","Answer2"
"485",131,21,1,"IV","Answer2"
"486",131,25,1,"IV","Answer2"
"487",131,5,1,"IV","Answer2"
"488",131,19,1,"IV","Answer2"
"489",131,15,1,"IV","Answer2"
"490",131,17,1,"IV","Answer2"
"491",131,23,1,"IV","Answer2"
"492",131,2,1,"IV","Answer2"
"493",131,4,1,"IV","Answer2"
"494",131,18,1,"IV","Answer2"
"495",131,24,1,"IV","Answer2"
"496",131,13,1,"IV","Answer2"
"497",131,9,1,"IV","Answer2"
