"","pKey","itemNum","Correct","Task","OptionChosen"
"1",100,6,1,"MV","Answer2"
"2",100,3,1,"MV","Answer2"
"3",100,16,1,"MV","Answer2"
"4",100,11,1,"MV","Answer2"
"5",100,7,1,"MV","Answer3"
"6",100,17,1,"MV","Answer2"
"7",100,14,1,"MV","Answer2"
"8",100,8,1,"MV","Answer2"
"9",100,5,1,"MV","Answer2"
"10",100,19,1,"MV","Answer2"
"11",100,15,1,"MV","Answer2"
"12",100,1,0,"MV","Answer1"
"13",100,2,1,"MV","Answer2"
"14",100,4,1,"MV","Answer2"
"15",100,18,1,"MV","Answer3"
"16",100,13,0,"MV","Answer1"
"17",100,9,1,"MV","Answer2"
"18",100,20,1,"MV","Answer2"
"19",100,10,1,"MV","Answer2"
"20",100,12,1,"MV","Answer2"
"21",101,6,1,"MV","Answer2"
"22",101,3,1,"MV","Answer2"
"23",101,16,1,"MV","Answer2"
"24",101,11,1,"MV","Answer2"
"25",101,7,1,"MV","Answer3"
"26",101,17,1,"MV","Answer2"
"27",101,14,1,"MV","Answer2"
"28",101,8,1,"MV","Answer2"
"29",101,5,1,"MV","Answer2"
"30",101,19,1,"MV","Answer2"
"31",101,15,1,"MV","Answer2"
"32",101,1,1,"MV","Answer3"
"33",101,2,1,"MV","Answer2"
"34",101,4,1,"MV","Answer2"
"35",101,18,1,"MV","Answer3"
"36",101,13,1,"MV","Answer2"
"37",101,9,1,"MV","Answer2"
"38",101,20,1,"MV","Answer2"
"39",101,10,1,"MV","Answer2"
"40",101,12,1,"MV","Answer2"
"41",102,6,1,"MV","Answer2"
"42",102,3,1,"MV","Answer2"
"43",102,16,1,"MV","Answer2"
"44",102,11,1,"MV","Answer2"
"45",102,7,1,"MV","Answer3"
"46",102,17,1,"MV","Answer2"
"47",102,14,1,"MV","Answer2"
"48",102,8,1,"MV","Answer2"
"49",102,5,1,"MV","Answer2"
"50",102,19,1,"MV","Answer2"
"51",102,15,1,"MV","Answer2"
"52",102,1,1,"MV","Answer3"
"53",102,2,1,"MV","Answer2"
"54",102,4,1,"MV","Answer2"
"55",102,18,1,"MV","Answer3"
"56",102,13,1,"MV","Answer2"
"57",102,9,1,"MV","Answer2"
"58",102,20,1,"MV","Answer2"
"59",102,10,1,"MV","Answer2"
"60",102,12,1,"MV","Answer2"
"61",106,6,1,"MV","Answer2"
"62",106,3,1,"MV","Answer2"
"63",106,16,1,"MV","Answer2"
"64",106,11,1,"MV","Answer2"
"65",106,7,1,"MV","Answer3"
"66",106,17,1,"MV","Answer2"
"67",106,14,1,"MV","Answer2"
"68",106,8,0,"MV","Answer1"
"69",106,5,1,"MV","Answer2"
"70",106,19,1,"MV","Answer2"
"71",106,15,1,"MV","Answer2"
"72",106,1,1,"MV","Answer3"
"73",106,2,1,"MV","Answer2"
"74",106,4,1,"MV","Answer2"
"75",106,18,0,"MV","Answer2"
"76",106,13,1,"MV","Answer2"
"77",106,9,1,"MV","Answer2"
"78",106,20,1,"MV","Answer2"
"79",106,10,1,"MV","Answer2"
"80",106,12,1,"MV","Answer2"
"81",107,6,0,"MV","Answer1"
"82",107,3,1,"MV","Answer2"
"83",107,16,1,"MV","Answer2"
"84",107,11,1,"MV","Answer2"
"85",107,7,1,"MV","Answer3"
"86",107,17,1,"MV","Answer2"
"87",107,14,1,"MV","Answer2"
"88",107,8,0,"MV","Answer1"
"89",107,5,1,"MV","Answer2"
"90",107,19,1,"MV","Answer2"
"91",107,15,0,"MV","Answer3"
"92",107,1,1,"MV","Answer3"
"93",107,2,1,"MV","Answer2"
"94",107,4,1,"MV","Answer2"
"95",107,18,0,"MV","Answer1"
"96",107,13,1,"MV","Answer2"
"97",107,9,0,"MV","Answer1"
"98",107,20,1,"MV","Answer2"
"99",107,10,1,"MV","Answer2"
"100",107,12,1,"MV","Answer2"
"101",108,6,1,"MV","Answer2"
"102",108,3,1,"MV","Answer2"
"103",108,16,1,"MV","Answer2"
"104",108,11,1,"MV","Answer2"
"105",108,7,1,"MV","Answer3"
"106",108,17,1,"MV","Answer2"
"107",108,14,0,"MV","Answer1"
"108",108,8,1,"MV","Answer2"
"109",108,5,1,"MV","Answer2"
"110",108,19,1,"MV","Answer2"
"111",108,15,1,"MV","Answer2"
"112",108,1,1,"MV","Answer3"
"113",108,2,1,"MV","Answer2"
"114",108,4,1,"MV","Answer2"
"115",108,18,0,"MV","Answer2"
"116",108,13,0,"MV","Answer1"
"117",108,9,0,"MV","Answer3"
"118",108,20,1,"MV","Answer2"
"119",108,10,1,"MV","Answer2"
"120",108,12,1,"MV","Answer2"
"121",110,6,1,"MV","Answer2"
"122",110,3,1,"MV","Answer2"
"123",110,16,1,"MV","Answer2"
"124",110,11,1,"MV","Answer2"
"125",110,7,0,"MV","Answer1"
"126",110,17,1,"MV","Answer2"
"127",110,14,1,"MV","Answer2"
"128",110,8,0,"MV","Answer1"
"129",110,5,1,"MV","Answer2"
"130",110,19,1,"MV","Answer2"
"131",110,15,1,"MV","Answer2"
"132",110,1,1,"MV","Answer3"
"133",110,2,1,"MV","Answer2"
"134",110,4,1,"MV","Answer2"
"135",110,18,1,"MV","Answer3"
"136",110,13,0,"MV","Answer1"
"137",110,9,1,"MV","Answer2"
"138",110,20,1,"MV","Answer2"
"139",110,10,1,"MV","Answer2"
"140",110,12,0,"MV","Answer1"
"141",111,6,1,"MV","Answer2"
"142",111,3,1,"MV","Answer2"
"143",111,16,1,"MV","Answer2"
"144",111,11,1,"MV","Answer2"
"145",111,7,1,"MV","Answer3"
"146",111,17,1,"MV","Answer2"
"147",111,14,1,"MV","Answer2"
"148",111,8,1,"MV","Answer2"
"149",111,5,1,"MV","Answer2"
"150",111,19,1,"MV","Answer2"
"151",111,15,1,"MV","Answer2"
"152",111,1,1,"MV","Answer3"
"153",111,2,1,"MV","Answer2"
"154",111,4,1,"MV","Answer2"
"155",111,18,0,"MV","Answer2"
"156",111,13,1,"MV","Answer2"
"157",111,9,1,"MV","Answer2"
"158",111,20,1,"MV","Answer2"
"159",111,10,1,"MV","Answer2"
"160",111,12,1,"MV","Answer2"
"161",112,6,1,"MV","Answer2"
"162",112,3,0,"MV","Answer1"
