Question,${lm://Field/2},${lm://Field/3},${lm://Field/4},${lm://Field/5},${lm://Field/6},CodingScheme
X1_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X2_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X3_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X4_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X5_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X6_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X7_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X8_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X9_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X10_Metaphor,IncorrectLiteral,CorrectNonLiteral,IncorrectPlausibleLiteral,IncorrectNonLiteral,IncorrectNonSequitur,Complex
X11_Metaphor,IncorrectLiteral,CorrectNonLiteral,IncorrectPlausibleLiteral,IncorrectNonLiteral,IncorrectNonSequitur,Complex
X12_Metaphor,IncorrectLiteral,CorrectNonLiteral,IncorrectPlausibleLiteral,IncorrectNonLiteral,IncorrectNonSequitur,Complex
X13_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X14_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X15_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X16_Metaphor,IncorrectLiteral,CorrectNonLiteral,IncorrectPlausibleLiteral,IncorrectNonLiteral,IncorrectNonSequitur,Complex
X17_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X18_Metaphor,IncorrectLiteral,CorrectNonLiteral,IncorrectPlausibleLiteral,IncorrectNonLiteral,IncorrectNonSequitur,Complex
X19_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
X20_Metaphor,IncorrectPlausibleLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectNonSequitur,IncorrectLiteral,Complex
