Question,${lm://Field/2},${lm://Field/3},${lm://Field/4},${lm://Field/5}
X1_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X2_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X3_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X4_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X5_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X6_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X7_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X8_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X9_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X10_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X11_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X12_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X13_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X14_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X15_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X16_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X17_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X18_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X19_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X20_IndirectSpeech,IncorrectLiteral,CorrectNonLiteral,IncorrectLexicalOverlap,IncorrectAssociative
X1_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X2_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X3_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X4_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X5_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X6_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X7_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X8_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X9_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X10_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X11_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X12_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectNonSequitur,IncorrectAssociate
X13_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X14_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X15_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X16_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectAssociate
X17_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X18_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X19_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X20_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X21_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X22_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X23_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X24_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X25_Irony,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonSequitur
X1_Maxims,IncorrectLiteral,IncorrectNonLiteral,CorrectNonLiteral,IncorrectAssociate
X2_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X3_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X4_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X5_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X6_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X7_Maxims,IncorrectAssociate,IncorrectNonLiteral,CorrectNonLiteral,IncorrectLiteral
X8_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonLiteral
X9_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X10_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonLiteral
X11_Maxims,IncorrectAssociate,CorrectNonLiteral,IncorrectLiteral,IncorrectNonLiteral
X12_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectNonLiteral,IncorrectAssociate
X13_Maxims,IncorrectLiteral,CorrectNonLiteral,IncorrectAssociate,IncorrectNonLiteral
X14_Maxims,IncorrectAssociate,CorrectNonLiteral,IncorrectLiteral,IncorrectNonLiteral
