Question,${lm://Field/2},${lm://Field/3},${lm://Field/4},${lm://Field/5}
X1_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X2_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X3_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X4_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X5_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X6_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X7_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X8_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X9_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X10_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X11_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X12_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X13_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X14_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X15_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X16_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X17_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X18_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X19_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X20_IndirectSpeech,Incorrect,Correct,Incorrect,Incorrect
X1_Irony,Incorrect,Correct,Incorrect,Incorrect
X2_Irony,Incorrect,Correct,Incorrect,Incorrect
X3_Irony,Incorrect,Correct,Incorrect,Incorrect
X4_Irony,Incorrect,Correct,Incorrect,Incorrect
X5_Irony,Incorrect,Correct,Incorrect,Incorrect
X6_Irony,Incorrect,Correct,Incorrect,Incorrect
X7_Irony,Incorrect,Correct,Incorrect,Incorrect
X8_Irony,Incorrect,Correct,Incorrect,Incorrect
X9_Irony,Incorrect,Correct,Incorrect,Incorrect
X10_Irony,Incorrect,Correct,Incorrect,Incorrect
X11_Irony,Incorrect,Correct,Incorrect,Incorrect
X12_Irony,Incorrect,Correct,Incorrect,Incorrect
X13_Irony,Incorrect,Correct,Incorrect,Incorrect
X14_Irony,Incorrect,Correct,Incorrect,Incorrect
X15_Irony,Incorrect,Correct,Incorrect,Incorrect
X16_Irony,Incorrect,Correct,Incorrect,Incorrect
X17_Irony,Incorrect,Correct,Incorrect,Incorrect
X18_Irony,Incorrect,Correct,Incorrect,Incorrect
X19_Irony,Incorrect,Correct,Incorrect,Incorrect
X20_Irony,Incorrect,Correct,Incorrect,Incorrect
X21_Irony,Incorrect,Correct,Incorrect,Incorrect
X22_Irony,Incorrect,Correct,Incorrect,Incorrect
X23_Irony,Incorrect,Correct,Incorrect,Incorrect
X24_Irony,Incorrect,Correct,Incorrect,Incorrect
X25_Irony,Incorrect,Correct,Incorrect,Incorrect
X1_Maxims,Incorrect,Incorrect,Correct,Incorrect
X2_Maxims,Incorrect,Correct,Incorrect,Incorrect
X3_Maxims,Incorrect,Correct,Incorrect,Incorrect
X4_Maxims,Incorrect,Correct,Incorrect,Incorrect
X5_Maxims,Incorrect,Correct,Incorrect,Incorrect
X6_Maxims,Incorrect,Correct,Incorrect,Incorrect
X7_Maxims,Incorrect,Incorrect,Correct,Incorrect
X8_Maxims,Incorrect,Correct,Incorrect,Incorrect
X9_Maxims,Incorrect,Correct,Incorrect,Incorrect
X10_Maxims,Incorrect,Correct,Incorrect,Incorrect
X11_Maxims,Incorrect,Correct,Incorrect,Incorrect
X12_Maxims,Incorrect,Correct,Incorrect,Incorrect
X13_Maxims,Incorrect,Correct,Incorrect,Incorrect
X14_Maxims,Incorrect,Correct,Incorrect,Incorrect
X15_Maxims,Incorrect,Correct,Incorrect,Incorrect
X16_Maxims,Incorrect,Correct,Incorrect,Incorrect
X17_Maxims,Incorrect,Correct,Incorrect,Incorrect
X18_Maxims,Incorrect,Incorrect,Correct,Incorrect
X19_Maxims,Incorrect,Correct,Incorrect,Incorrect
X20_Maxims,Incorrect,Correct,Incorrect,Incorrect
X1_PoliteDeceits,Incorrect,Incorrect,Incorrect,Correct
X2_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X3_PoliteDeceits,Incorrect,Incorrect,Incorrect,Correct
X4_PoliteDeceits,Incorrect,Correct,Incorrect,Incorrect
X5_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X6_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X7_PoliteDeceits,Incorrect,Correct,Incorrect,Incorrect
X8_PoliteDeceits,Incorrect,Correct,Incorrect,Incorrect
X9_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X10_PoliteDeceits,Incorrect,Correct,Incorrect,Incorrect
X11_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X12_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X13_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X14_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X15_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X16_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X17_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X18_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X19_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
X20_PoliteDeceits,Incorrect,Incorrect,Correct,Incorrect
