Question,${lm://Field/2},${lm://Field/3},${lm://Field/4},${lm://Field/5},${lm://Field/6}
X1_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X2_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X3_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X4_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X5_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X6_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X7_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X8_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X9_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X10_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X11_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X12_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X13_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X14_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X15_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X16_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X17_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X18_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X19_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
X20_Metaphor,Incorrect,Correct,Incorrect,Incorrect,Incorrect
